from,to
143119,120705
143119,121032
143119,13643
143119,64514
143119,137087
143119,7846
143119,117100
143119,137349
143119,53995
140013,139734
140320,21241
140320,16190
140320,59027
140320,60529
81041,61172
152065,151219
36952,192688
36952,97070
36952,170917
36952,75022
8339,152191
8339,281
8339,75436
8339,7846
28877,42192
28877,62240
28877,22843
28877,34763
28877,58923
28877,57780
28877,41994
28877,37093
28877,17984
28877,28204
28877,1361
28877,13198
28877,281
28877,2759
28877,53820
28877,23054
28877,4020
28877,12148
28877,4452
28877,19696
28877,22082
28877,17893
28877,557
28877,27988
28877,19446
28877,29745
28877,21798
19271,10142
96615,42192
96615,120705
96615,66403
96615,52461
96615,107326
96615,64078
96615,8598
96615,96339
96615,95929
96615,106929
115416,135819
115416,105131
115416,105325
115416,80973
115416,158249
115416,121032
115416,107326
115416,100701
115416,77318
115416,54380
115416,21365
115416,120705
115416,138607
115416,148279
115416,1361
115416,151897
115416,151719
6137,2448
6137,6310
82421,61172
56005,12
56005,71674
56005,42904
56005,39371
28173,56461
28173,64078
28173,218777
28173,178853
28173,2469
30613,1277
30613,212591
30613,75508
30613,154823
30613,3134
30613,71854
30613,170837
30613,12
30613,101739
30613,3202
30613,199538
30613,174942
30613,1969
30613,56995
30613,2759
30613,461
30613,101954
30613,48819
30613,2058
30613,65762
30613,55756
30613,10804
30613,33650
44408,5991
104149,61609
71414,21427
71414,3100
71414,26269
71414,10950
71414,18333
71414,21045
71414,13154
96698,106929
96698,3512
96698,86713
96698,95929
66357,120705
66357,86888
66357,15328
66357,35592
71829,12941
50315,7846
50315,53995
96890,50296
96890,302410
96890,301992
96890,136212
96890,17984
96890,64078
96890,96971
96890,7846
96890,41234
96890,96782
118487,96532
118487,99072
118487,12
71085,61172
83716,61172
111183,6955
111183,998
111183,12
111183,8598
27845,25621
70828,61172
36781,226489
36781,264
36781,7881
36781,52098
36781,114736
36781,139636
36781,63600
36781,242460
36781,212395
36781,199862
36781,41256
36781,241652
36781,77828
36781,97947
36781,252125
36781,341
